accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,x,y,z,left_encoder_rate,right_encoder_rate,left_input,right_input,fpga time,navx time
0.183533,0.0177612,1.04657,-5.17242,5.93307,-212.222,0.628159,2.06256,0,-49.8889,-764.409,-0.0078125,0.546875,57.3071,3073542
-0.476868,0.0524292,0.881897,0.912781,5.17242,-204.159,0.626984,2.09581,0,-49.8889,-713.801,-0.0078125,0.546875,57.3273,3073571
0.143066,0.0654907,1.00745,-8.82355,2.12982,-195.639,0.625748,2.11234,0,-6.94131,-702.346,-0.0078125,0.546875,57.3497,3073586
-0.0703125,0.0211792,1.02142,-0.608521,0.760651,-191.532,0.624405,2.12889,0,5.40995,-632.191,-0.0078125,0.546875,57.3676,3073602
0.00616455,0.194885,1.20197,-6.69373,2.58621,-184.382,0.620987,2.16237,0,72.953,-639.386,-0.0078125,0.625,57.3875,3073631
-0.268921,0.134949,1.04913,-4.25964,0.912781,-180.578,0.618744,2.17928,0,80.6201,-646.433,-0.0078125,0.640625,57.4076,3073646
0.306213,-0.0136108,0.914307,-4.5639,-0.45639,-171.299,0.614044,2.21323,0,86.6495,-844.595,-0.0078125,0.648438,57.4278,3073676
-0.335083,0.0969849,0.956909,-2.73834,6.84586,-172.363,0.611633,2.23027,0,132.802,-744.823,-0.0078125,0.648438,57.447,3073691
-0.067749,0.0637817,1.14948,-6.84586,5.78094,-169.169,0.60878,2.24719,0,134.23,-729.182,-0.0078125,0.648438,57.4672,3073706
0.308838,0.101013,0.874451,-4.25964,1.97769,-166.735,0.605865,2.26427,0,138.051,-735.51,-0.0078125,0.648438,57.4872,3073722
-0.247192,0.111877,0.855164,-2.58621,2.43408,-161.106,0.599518,2.29849,0,142.738,-623.791,-0.0078125,0.648438,57.5092,3073751
0.142151,-0.0217285,0.999084,2.58621,1.5213,-158.063,0.595932,2.31552,0,169.704,-728.916,-0.0078125,0.648438,57.5277,3073766
-0.345398,0.148987,0.856323,-5.17242,5.47668,-155.933,0.592087,2.33247,0,192.927,-524.123,-0.0078125,0.648438,57.5483,3073782
-0.0726318,0.149353,0.8974,-1.67343,7.91077,-149.696,0.583542,2.36638,0,164.21,-797.83,-0.0078125,0.648438,57.568,3073811
0.168884,0.0369263,1.06189,-0.912781,-3.80325,-144.828,0.579041,2.38345,0,161.273,-820.513,-0.0078125,0.648438,57.587,3073826
-0.348511,0.0897827,0.739136,1.21704,3.34686,-143.459,0.574295,2.40047,0,168.098,-883.665,-0.0078125,0.648438,57.6069,3073842
-0.249634,0.0223999,0.85498,-1.21704,10.0406,-139.047,0.564758,2.43474,0,172.595,-628.18,-0.0078125,0.648438,57.6272,3073871
0.210388,0.0679932,0.908325,-3.49899,-1.21704,-137.678,0.559845,2.45189,0,181.22,-768.197,-0.0078125,0.648438,57.647,3073886
-0.484253,0.0720825,1.36017,-8.36716,-2.43408,-134.179,0.554626,2.4689,0,162.702,-732.708,-0.0078125,0.648438,57.6672,3073902
-0.296082,-0.00408936,0.704712,-1.97769,-0.30426,-130.071,0.54361,2.50281,0,164.266,-642.942,-0.0078125,0.648438,57.6871,3073931
-0.207947,0.16272,1.15222,0.912781,-1.5213,-129.311,0.537643,2.51953,0,195.702,-762.108,-0.0078125,0.648438,57.707,3073946
-0.0617065,0.0875854,0.877625,4.71603,2.28195,-122.313,0.52478,2.55232,0,186.282,-761.47,-0.0078125,0.648438,57.7277,3073976
0.090332,0.022644,0.804382,-0.15213,3.0426,-122.008,0.518097,2.56863,0,251.699,-917.979,-0.0078125,0.648438,57.7472,3073991
0.0653076,-0.0410156,0.98291,-0.760651,4.5639,-120.335,0.511414,2.58498,0,206.107,-839.772,-0.0078125,0.648438,57.7689,3074006
