left_encoder_ticks,right_encoder_ticks,left_current,right_current,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,navx_time,laptop_time
46416,36544,0,0,0.095764,-0.020386,1.027100,0.244141,-0.305176,-0.244141,0,1512690163.820477
46416,36544,0,0,0.277832,-0.042603,1.014771,-0.061035,-2.380371,3.173828,0,1512690163.920657
46426,36611,0,13,0.096252,0.014221,0.956604,3.051758,-6.591796,16.113281,0,1512690164.020842
46466,36800,0,31,0.140015,-0.049927,1.004639,4.028320,-1.342773,34.118652,0,1512690164.121027
46507,37009,0,24,0.150269,0.030151,1.055420,4.455566,-1.647949,45.715328,0,1512690164.221215
46584,37512,0,38,0.036560,-0.045471,1.023621,8.117676,0.244141,65.368652,0,1512690164.321404
46633,37876,0,33,0.180176,0.080383,1.047424,6.774902,-2.502441,78.979492,0,1512690164.421594
46726,38508,0,37,0.091431,0.140198,0.942444,5.432128,-3.601074,75.195312,0,1512690164.521788
46802,38860,0,34,0.148560,0.087036,1.105530,6.530761,-1.892090,67.382812,0,1512690164.621969
47000,39569,0,34,0.015198,0.044556,1.075378,3.112793,1.464844,51.391598,0,1512690164.722128
47266,40285,0,33,0.110352,-0.004578,0.996399,4.150391,-2.319336,49.316402,0,1512690164.822294
47409,40647,0,33,0.199341,0.143738,1.177795,4.272461,-3.601074,45.532223,0,1512690164.922482
47687,41367,0,34,0.072083,-0.039734,0.995728,1.708984,0.793457,40.893551,0,1512690165.022668
47874,41832,0,36,-0.001282,-0.064880,0.841797,1.770019,0.549316,43.701168,0,1512690165.122856
48209,42678,0,34,0.109497,0.018311,1.039612,5.737304,-3.234863,51.635738,0,1512690165.223020
48389,43144,0,36,-0.062561,-0.006287,0.964111,-5.981445,6.835937,47.241207,0,1512690165.323170
48674,43852,0,33,0.101990,-0.088379,0.961548,3.723144,-3.845215,60.302731,0,1512690165.423362
48814,44236,0,30,0.017822,0.027771,1.000000,9.094238,-1.586914,75.622559,0,1512690165.523548
49082,45000,0,29,-0.015869,0.011719,1.070923,1.037598,6.286621,74.951172,0,1512690165.623734
49352,45782,0,28,0.117615,-0.050232,0.831360,5.065917,-0.183105,77.148438,0,1512690165.723873
49492,46183,0,28,0.035156,0.014343,1.067383,9.948730,-4.577637,86.853020,0,1512690165.824014
49758,47003,0,27,0.125549,0.001648,1.009216,4.211426,3.723144,76.232910,0,1512690165.924187
49986,47672,0,28,0.111633,0.110107,1.097046,9.765625,-4.821777,77.819824,0,1512690166.024325
50265,48497,0,26,0.090637,0.094604,1.081604,6.103515,0.915527,86.059563,0,1512690166.124490
50480,49166,0,28,0.124512,0.019897,1.078979,3.479004,4.211426,83.374016,0,1512690166.224681
50710,49860,0,24,0.207214,0.207825,1.091614,9.582520,-3.967285,90.698235,0,1512690166.324868
50892,50436,0,23,0.135071,0.105774,0.944153,5.981445,-0.061035,94.970695,0,1512690166.425064
51151,51279,0,25,0.219788,0.022217,1.137329,3.051758,-0.122070,77.758789,0,1512690166.525240
51291,51698,0,25,0.174683,0.061157,1.054626,7.080078,-4.699707,89.355461,0,1512690166.625429
51567,52549,0,25,0.096924,0.092102,1.043152,4.699707,4.516602,79.833984,0,1512690166.725584
51841,53355,0,29,0.172974,0.053711,0.986694,5.737304,0.915527,72.326660,0,1512690166.825752
52084,54035,0,26,0.105347,0.034912,1.132141,9.521484,-7.690429,79.101562,0,1512690166.925940
52350,54823,0,30,-0.017700,-0.025208,1.251343,2.563476,3.234863,65.002441,0,1512690167.026093
52544,55337,0,30,0.017822,0.047058,0.983032,5.004883,-2.624511,56.213375,0,1512690167.126253
52838,56117,0,30,0.191528,0.173462,1.145264,9.094238,-4.699707,49.011227,0,1512690167.226387
53017,56585,0,36,0.124573,0.082214,0.901672,8.666992,-5.004883,27.038572,0,1512690167.326564
53152,56924,0,37,-0.047241,-0.069458,0.905640,-3.173828,1.708984,32.409668,0,1512690167.426740
53506,57784,0,31,0.025024,0.009766,0.916016,9.887695,-1.525879,65.673828,0,1512690167.526917
53780,58512,0,34,0.010620,0.197205,0.925232,3.662109,0.610352,61.218258,0,1512690167.627038
53916,58872,0,35,-0.077209,-0.108032,1.042236,2.990722,-1.892090,67.810059,0,1512690167.727201
54249,59788,0,29,0.182373,0.032349,0.875183,6.652832,-1.342773,72.326660,0,1512690167.827356
54431,60299,0,31,0.119019,0.046692,1.190369,1.159668,5.493164,61.645504,0,1512690167.927521
54718,61063,0,29,0.057922,0.054016,1.004700,7.019042,-1.831055,61.462399,0,1512690168.027675
54912,61581,0,31,0.166443,0.095886,1.162964,5.187988,-3.356933,59.814449,0,1512690168.127837
55186,62322,0,33,0.074097,-0.023438,0.948059,1.098633,4.577637,51.269527,0,1512690168.228021
55332,62685,0,33,0.092407,-0.056824,0.989563,3.906250,-3.356933,55.725094,0,1512690168.328206
55626,63459,0,30,-0.014343,-0.023804,0.965515,10.375976,-1.770019,50.170895,0,1512690168.428389
55900,64172,0,37,0.163269,0.129150,1.220764,1.342773,2.990722,33.081055,0,1512690168.528576
