accelx,accely,accelz,gyrox,gyroy,gyroz,time
-0.0067749,0.0123901,1.02289,0.15213,0.15213,0.15213,1.51071e+09
-0.0067749,0.0123901,1.02289,0.15213,0.15213,0.15213,1.51071e+09
-0.00823975,0.00793457,1.01501,0.15213,0.30426,0.15213,1.51071e+09
-0.00982666,0.0102539,1.01978,-0.30426,-0,0.15213,1.51071e+09
-0.00982666,0.0102539,1.01978,-0.30426,-0,0.15213,1.51071e+09
-0.00531006,0.00921631,1.01819,-0,-0,0.15213,1.51071e+09
-0.00610352,0.0101318,1.01801,0.30426,0.45639,0.30426,1.51071e+09
-0.00610352,0.0101318,1.01801,0.30426,0.45639,0.30426,1.51071e+09
-0.00946045,0.0117798,1.0191,0.15213,0.15213,-0,1.51071e+09
-0.00799561,0.0152588,1.01373,-0,-0,0.15213,1.51071e+09
-0.00799561,0.0152588,1.01373,-0,-0,0.15213,1.51071e+09
-0.0103149,0.00994873,1.0224,0.15213,-0,-0,1.51071e+09
-0.00830078,0.0106201,1.02179,0.15213,0.608521,-0.15213,1.51071e+09
-0.00830078,0.0106201,1.02179,0.15213,0.608521,-0.15213,1.51071e+09
-0.00866699,0.0130615,1.01154,0.30426,0.30426,0.30426,1.51071e+09
-0.00500488,0.0115356,1.02368,0.15213,0.15213,-0,1.51071e+09
-0.00500488,0.0115356,1.02368,0.15213,0.15213,-0,1.51071e+09
-0.00439453,0.0119019,1.01855,0.15213,0.15213,0.15213,1.51071e+09
-0.00860596,0.0105591,1.01685,0.15213,0.15213,-0,1.51071e+09
-0.00860596,0.0105591,1.01685,0.15213,0.15213,-0,1.51071e+09
-0.0118408,0.00946045,1.02148,-0,0.15213,-0,1.51071e+09
-0.00720215,0.0100708,1.01501,0.15213,0.30426,0.15213,1.51071e+09
-0.00720215,0.0100708,1.01501,0.15213,0.30426,0.15213,1.51071e+09
-0.00488281,0.0125732,1.02606,-0,-0.15213,-0,1.51071e+09
-0.0067749,0.0126343,1.02332,0.15213,0.15213,0.45639,1.51071e+09
-0.0067749,0.0126343,1.02332,0.15213,0.15213,0.45639,1.51071e+09
-0.00463867,0.0152588,1.02094,-0,-0.15213,-0.15213,1.51071e+09
-0.00616455,0.0100708,1.02301,0.15213,-0,0.15213,1.51071e+09
-0.00616455,0.0100708,1.02301,0.15213,-0,0.15213,1.51071e+09
-0.00854492,0.0109253,1.02051,-0,-0,0.45639,1.51071e+09
-0.00787354,0.010376,1.01727,-0.15213,0.45639,-0,1.51071e+09
-0.00787354,0.010376,1.01727,-0.15213,0.45639,-0,1.51071e+09
-0.0045166,0.0119019,1.02161,-0.30426,-0,0.15213,1.51071e+09
-0.00402832,0.0117798,1.0202,-0.30426,-0.15213,0.15213,1.51071e+09
-0.00402832,0.0117798,1.0202,-0.30426,-0.15213,0.15213,1.51071e+09
-0.00897217,0.013855,1.0199,-0,-0,-0.15213,1.51071e+09
-0.00646973,0.012146,1.01886,0.15213,0.15213,0.15213,1.51071e+09
-0.00646973,0.012146,1.01886,0.15213,0.15213,0.15213,1.51071e+09
-0.0055542,0.0100098,1.01453,0.15213,0.45639,-0,1.51071e+09
-0.00726318,0.00921631,1.01257,0.15213,0.15213,0.15213,1.51071e+09
-0.00726318,0.00921631,1.01257,0.15213,0.15213,0.15213,1.51071e+09
-0.00976562,0.00787354,1.01898,-0.15213,-0,0.15213,1.51071e+09
-0.0065918,0.0088501,1.01953,0.15213,0.608521,0.15213,1.51071e+09
-0.0065918,0.0088501,1.01953,0.15213,0.608521,0.15213,1.51071e+09
-0.0045166,0.0117188,1.02087,-0.15213,-0.15213,0.15213,1.51071e+09
-0.00640869,0.012085,1.01691,0.15213,0.15213,-0,1.51071e+09
-0.00640869,0.012085,1.01691,0.15213,0.15213,-0,1.51071e+09
-0.00921631,0.00994873,1.01794,0.15213,0.45639,-0,1.51071e+09
-0.0108643,0.0067749,1.0152,0.15213,0.15213,0.15213,1.51071e+09
-0.0108643,0.0067749,1.0152,0.15213,0.15213,0.15213,1.51071e+09
-0.00634766,0.0109863,1.01312,-0,-0,0.15213,1.51071e+09
-0.000976562,0.012146,1.01422,0.30426,-0,-0,1.51071e+09
-0.000976562,0.012146,1.01422,0.30426,-0,-0,1.51071e+09
-0.00799561,0.0149536,1.02411,-0.15213,-0,-0,1.51071e+09
-0.00921631,0.0133667,1.01898,-0,-0,-0,1.51071e+09
-0.00921631,0.0133667,1.01898,-0,-0,-0,1.51071e+09
-0.00854492,0.0112915,1.01996,-0,0.15213,-0,1.51071e+09
-0.0067749,0.010498,1.02917,-0,-0.15213,0.15213,1.51071e+09
-0.0067749,0.010498,1.02917,-0,-0.15213,0.15213,1.51071e+09
-0.00622559,0.00927734,1.01617,0.30426,0.15213,-0,1.51071e+09
-0.00640869,0.00964355,1.02332,0.15213,0.15213,0.15213,1.51071e+09
-0.00640869,0.00964355,1.02332,0.15213,0.15213,0.15213,1.51071e+09
-0.00537109,0.0100098,1.01746,0.15213,0.45639,0.15213,1.51071e+09
-0.00939941,0.0128784,1.01874,-0,-0,0.15213,1.51071e+09
