accl_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,time
-0.0706177,-0.107544,1.0249,-0.183105,-0.0610352,0.0610352,0
-0.0736694,-0.105042,1.02509,0,-0.244141,-0.12207,0
-0.0736694,-0.105042,1.02509,0,-0.244141,-0.12207,0
-0.0669556,-0.106628,1.01642,-0.0610352,-0.305176,0.12207,0
-0.0639038,-0.113342,1.00787,-0.12207,-0.183105,-0.0610352,0
-0.0639038,-0.113342,1.00787,-0.12207,-0.183105,-0.0610352,0
-0.0646362,-0.121277,1.03223,-0.305176,0.12207,0,0
-0.0546265,-0.12146,1.02118,0,-0.12207,0,0
-0.0546265,-0.12146,1.02118,0,-0.12207,0,0
-0.0505981,-0.107666,1.00958,0.183105,-0.183105,0,0
-0.0502319,-0.108948,1.02509,-0.427246,0.427246,0.0610352,0
-0.0600586,-0.106018,1.02814,0.0610352,-0.12207,0.0610352,0
-0.0600586,-0.106018,1.02814,0.0610352,-0.12207,0.0610352,0
-0.0579224,-0.107483,1.02844,0,-0.183105,0.0610352,0
-0.0608521,-0.109314,1.01801,-0.0610352,-0.12207,0.0610352,0
-0.0608521,-0.109314,1.01801,-0.0610352,-0.12207,0.0610352,0
-0.0682983,-0.106323,1.02289,-0.305176,-0.244141,0.0610352,0
-0.0632935,-0.11084,1.02551,0,-0.244141,0.0610352,0
-0.0632935,-0.11084,1.02551,0,-0.244141,0.0610352,0
-0.0630493,-0.112976,1.01501,-0.0610352,-0.244141,0.0610352,0
-0.0604858,-0.117249,1.0166,-0.244141,-0.0610352,0.183105,0
-0.0604858,-0.117249,1.0166,-0.244141,-0.0610352,0.183105,0
-0.0565186,-0.11615,1.02417,-0.0610352,-0.12207,0.0610352,0
-0.0539551,-0.109375,1.02417,0.0610352,0,0.0610352,0
-0.0539551,-0.109375,1.02417,0.0610352,0,0.0610352,0
-0.0500488,-0.10614,1.02301,-0.12207,-0.0610352,0,0
