accl_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,time
0.220398,-0.395691,0.92218,-0.0610352,-0.183105,-0.12207,0
0.220398,-0.395691,0.92218,-0.0610352,-0.183105,-0.12207,0
0.218201,-0.3927,0.920349,-0.0610352,-0.305176,-0.12207,0
0.218628,-0.398621,0.922546,-0.183105,-0.244141,-0.0610352,0
0.218628,-0.398621,0.922546,-0.183105,-0.244141,-0.0610352,0
0.218628,-0.395386,0.919067,-0.12207,-0.12207,0,0
0.220886,-0.398132,0.919495,0,-0.244141,-0.0610352,0
0.220886,-0.398132,0.919495,0,-0.244141,-0.0610352,0
0.217529,-0.397461,0.923767,0,-0.183105,0.0610352,0
0.218628,-0.397278,0.91687,0,-0.0610352,0,0
0.218628,-0.397278,0.91687,0,-0.0610352,0,0
0.221741,-0.395203,0.92157,-0.0610352,-0.12207,0,0
0.21936,-0.394043,0.918335,-0.0610352,-0.305176,0,0
0.21936,-0.394043,0.918335,-0.0610352,-0.305176,0,0
0.219788,-0.394226,0.9198,-0.0610352,-0.183105,0.0610352,0
0.218384,-0.395813,0.922302,-0.0610352,-0.305176,-0.0610352,0
0.218384,-0.395813,0.922302,-0.0610352,-0.305176,-0.0610352,0
0.217285,-0.397522,0.922607,-0.0610352,-0.12207,0,0
0.215637,-0.397461,0.919861,-0.0610352,-0.12207,-0.0610352,0
0.215637,-0.397461,0.919861,-0.0610352,-0.12207,-0.0610352,0
0.216736,-0.398804,0.920776,-0.0610352,-0.244141,0,0
0.22168,-0.396301,0.924561,-0.183105,-0.183105,-0.0610352,0
0.22168,-0.396301,0.924561,-0.183105,-0.183105,-0.0610352,0
0.221924,-0.396362,0.920593,-0.0610352,-0.183105,0,0
0.219727,-0.395142,0.920166,-0.0610352,-0.244141,0,0
0.219727,-0.395142,0.920166,-0.0610352,-0.244141,0,0
0.219971,-0.393555,0.918701,0,-0.244141,-0.12207,0
0.218689,-0.395935,0.922607,-0.0610352,-0.244141,0,0
0.217773,-0.396362,0.925598,-0.0610352,-0.244141,-0.0610352,0
0.217773,-0.396362,0.925598,-0.0610352,-0.244141,-0.0610352,0
0.217285,-0.395264,0.923157,-0.0610352,-0.183105,-0.183105,0
