x,y,z
-1007.34,-1006.89,153.26,,,,
-1128.2,-878.16,293.64,,,,
Objects,,,,,,,
100,,,,,,,
,,Global Angle MQP_OBJ_01:MQP_OBJ_01,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
29,0,-0.000285266,0.000369296,0.000313114,-186.739,516.884,267.336
30,0,-0.000294988,0.000433635,0.000258405,-186.743,516.89,267.332
31,0,-0.000315941,0.000393664,0.000334762,-186.753,516.899,267.349
32,0,-0.000208842,0.000222308,0.000265826,-186.754,516.875,267.341
33,0,-0.000215585,0.000264134,0.000348443,-186.754,516.867,267.324
34,0,-0.000304181,0.00034523,0.000293981,-186.75,516.87,267.32
35,0,-0.000272029,0.000493396,0.00024866,-186.745,516.897,267.328
36,0,-0.000301945,0.00041339,0.000287209,-186.75,516.893,267.344
37,0,-0.000244493,0.000383696,0.000413052,-186.751,516.885,267.343
38,0,-0.000373478,0.000321494,0.000264492,-186.747,516.865,267.328
39,0,-0.000255001,0.000480244,0.000347948,-186.751,516.861,267.317
40,0,-0.000234078,0.000249396,0.000356983,-186.747,516.882,267.324
41,0,-0.000256423,0.000320512,0.000338046,-186.745,516.902,267.344
42,0,-0.000243764,0.000404832,0.00038975,-186.745,516.887,267.351
43,0,-0.000308856,0.000362087,0.000373218,-186.75,516.873,267.343
44,0,-0.000343009,0.000278024,0.000251157,-186.742,516.872,267.318
45,0,-0.000377112,0.000333362,0.000315282,-186.754,516.873,267.31
46,0,-0.000246848,0.00035419,0.000323918,-186.752,516.883,267.34
47,0,-0.000210539,0.000267185,0.000329092,-186.751,516.9,267.344
48,0,-0.00037733,0.000350789,0.000311728,-186.743,516.886,267.358
49,0,-0.000298437,0.000506033,0.000393138,-186.741,516.876,267.337
50,0,-0.000261999,0.000225852,0.000310892,-186.747,516.881,267.3
51,0,-0.000284728,0.000312481,0.000400937,-186.748,516.88,267.311
52,0,-0.000155287,0.000473633,-0.000303034,-186.802,516.902,267.334
53,0,-0.00027253,0.00035054,0.000294412,-186.746,516.884,267.343
54,0,-0.000326777,0.000464807,0.000303698,-186.744,516.868,267.34
55,0,-0.000241934,0.000355595,0.000282102,-186.741,516.886,267.333
56,0,-0.000236962,0.000249922,0.000329799,-186.749,516.885,267.312
57,0,-0.000323725,0.000302261,0.00032982,-186.755,516.888,267.327
58,0,-0.000317344,0.000373888,0.000309741,-186.763,516.884,267.357
59,0,-0.000292969,0.000330232,0.000367313,-186.745,516.874,267.339
60,0,-0.000321445,0.000406208,0.000413228,-186.739,516.871,267.328
61,0,-0.000283554,0.000292266,0.000266086,-186.737,516.892,267.315
62,0,-0.000259557,0.000262526,0.000296285,-186.761,516.904,267.328
63,0,-0.000200701,0.000285494,0.000321832,-186.753,516.894,267.353
64,0,-0.000304983,0.000474659,0.000312118,-186.756,516.892,267.328
65,0,-0.000292101,0.000373921,0.000366277,-186.756,516.863,267.306
66,0,-0.000282056,0.000261534,0.000301501,-186.738,516.864,267.326
67,0,-0.000225219,0.000233183,0.000330512,-186.709,516.891,267.383
68,0,-0.000264511,0.000374767,0.000308575,-186.725,516.905,267.382
69,0,-0.000318727,0.000394114,0.000428042,-186.739,516.902,267.364
70,0,-0.000148451,0.000256357,0.000306389,-186.77,516.883,267.285
71,0,-0.00034678,0.000270301,0.000273891,-186.771,516.853,267.299
72,0,-0.000288087,0.000224668,0.000277943,-186.746,516.878,267.32
73,0,-0.00026468,0.000103314,0.000349785,-186.734,516.907,267.348
