accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,x,y,z,left_encoder_rate,right_encoder_rate,left_input,right_input,fpga time,navx time
-0.343628,-0.0158081,0.979492,2.58621,2.12982,33.7729,-0.0766449,0.785309,0,0,0,-0.429688,0.0078125,62.8811,92254
-0.287048,-0.0296631,0.953918,-0.608521,-0.30426,32.4037,-0.0773926,0.787064,0,0,0,-0.4375,0.0078125,62.9016,92283
-0.0905762,0.0387573,0.691467,4.10751,-2.43408,36.8155,-0.0779724,0.788132,0,0,0,-0.4375,0.0078125,62.923,92298
-0.647095,0.00274658,0.733948,8.67142,1.21704,42.9007,-0.0792236,0.790131,0,0,0,-0.4375,0.0078125,62.9447,92328
0.732971,-0.115784,0.954224,-0.912781,-3.19473,45.0305,-0.0799866,0.791107,0,0,0,-0.4375,0.0078125,62.9617,92343
-0.948364,0.00909424,0.987,3.49899,0.15213,45.0305,-0.0809021,0.792175,0,0,0,-0.445312,0.0078125,62.9823,92358
0.749756,-0.0485229,0.97876,-1.82556,-1.5213,48.0731,-0.0819244,0.793335,0,0,0,-0.445312,0.0078125,63.0014,92374
-0.43866,-0.0499268,0.863037,2.28195,0.45639,50.3551,-0.0840454,0.795654,0,0,0,-0.445312,0.0078125,63.0211,92403
0.735474,-0.00683594,0.808105,1.67343,0.15213,51.7242,-0.0852051,0.796844,0,0,0,-0.445312,0.0078125,63.0411,92418
-0.725586,0.0286255,1.04181,2.28195,-1.82556,53.2455,-0.0863495,0.798019,0,0,0,-0.445312,0.0078125,63.062,92434
0.140198,0.00604248,1.03644,-0.45639,-2.28195,55.9839,-0.0888367,0.800537,0,0,0,-0.445312,0.0078125,63.0814,92463
-0.135071,0.0109253,0.935608,1.82556,-1.97769,56.8967,-0.0900116,0.801636,0,0,0,-0.445312,0.0078125,63.1015,92478
-0.0753174,-0.0354004,0.922485,1.67343,-1.06491,58.418,-0.0912628,0.802856,0,0,0,-0.445312,0.0078125,63.1221,92494
-0.0745239,-0.0214233,0.932983,-0.15213,-3.80325,58.1137,-0.0938873,0.805313,0,0,0,-0.351562,0.0078125,63.1417,92523
-0.0455933,0.0321045,0.995178,1.82556,-0.15213,59.3307,-0.0952606,0.806625,0,0,0,-0.203125,0.0078125,63.1615,92538
0.0195923,-0.0088501,0.848999,3.95538,-1.21704,59.3307,-0.0966187,0.807938,0,0,0,-0.15625,0.0078125,63.1816,92554
0.104736,0.0778198,0.982666,1.82556,-2.43408,55.6796,-0.0965271,0.810654,0,0,0,-0.140625,0.0078125,63.2017,92583
0.175415,0.139404,0.96814,1.06491,-2.12982,50.5072,-0.0962219,0.811905,0,0,0,-0.132812,0.0078125,63.2256,92598
