Objects
100
,,Global Angle phil_robot:phil_robot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
158,0,-0.0165065,-0.0523443,2.6659,517.419,909.279,286.548
159,0,-0.0166419,-0.0524942,2.6659,517.433,909.26,286.581
160,0,-0.0167728,-0.0529284,2.66597,517.435,909.265,286.562
161,0,-0.0165228,-0.0522523,2.66593,517.421,909.271,286.543
162,0,-0.016683,-0.0523876,2.66596,517.435,909.27,286.564
163,0,-0.0166704,-0.0523776,2.66586,517.427,909.283,286.565
164,0,-0.0168049,-0.0524555,2.66593,517.425,909.273,286.571
165,0,-0.0166306,-0.0523614,2.66593,517.434,909.248,286.56
166,0,-0.0166576,-0.0523978,2.66588,517.431,909.266,286.56
167,0,-0.0166084,-0.0523494,2.66592,517.419,909.298,286.556
168,0,-0.0165811,-0.0524011,2.66585,517.428,909.256,286.574
169,0,-0.0167051,-0.0524077,2.66586,517.441,909.269,286.558
170,0,-0.0167517,-0.0523954,2.66594,517.427,909.282,286.565
171,0,-0.0167003,-0.052354,2.66588,517.426,909.245,286.579
172,0,-0.0166383,-0.052235,2.66585,517.432,909.256,286.55
173,0,-0.0167169,-0.0524916,2.66589,517.425,909.306,286.57
174,0,-0.0166035,-0.0524432,2.66593,517.426,909.257,286.572
175,0,-0.0166325,-0.0528197,2.66588,517.432,909.268,286.561
176,0,-0.0166325,-0.0521049,2.6659,517.432,909.291,286.561
177,0,-0.0167248,-0.0523371,2.66586,517.425,909.26,286.564
178,0,-0.0167628,-0.0525398,2.66597,517.421,909.255,286.565
179,0,-0.0166348,-0.0525618,2.6659,517.436,909.287,286.555
180,0,-0.0167826,-0.0527852,2.66602,517.43,909.257,286.579
181,0,-0.0167583,-0.0523594,2.66595,517.429,909.255,286.566
182,0,-0.0166685,-0.0525541,2.66589,517.43,909.294,286.539
183,0,-0.0166419,-0.0521638,2.66595,517.428,909.283,286.56
184,0,-0.0166266,-0.0523194,2.66584,517.422,909.289,286.569
185,0,-0.0167448,-0.0523768,2.66591,517.422,909.264,286.561
186,0,-0.0166727,-0.0524011,2.66592,517.432,909.244,286.573
187,0,-0.0166805,-0.0522991,2.66587,517.436,909.283,286.571
188,0,-0.0167569,-0.0525382,2.66596,517.421,909.283,286.55
189,0,-0.0166857,-0.0524232,2.66592,517.428,909.259,286.556
190,0,-0.01671,-0.0525466,2.66591,517.434,909.299,286.576
191,0,-0.016673,-0.0525682,2.6659,517.424,909.264,286.558
192,0,-0.0165891,-0.052383,2.6659,517.424,909.239,286.562
193,0,-0.0166834,-0.052161,2.66579,517.437,909.291,286.576
194,0,-0.0166073,-0.0524375,2.66598,517.427,909.283,286.548
195,0,-0.016724,-0.0525206,2.66593,517.425,909.256,286.562
196,0,-0.0166433,-0.0523757,2.66584,517.439,909.258,286.571
197,0,-0.0166768,-0.0523961,2.66586,517.429,909.289,286.558
198,0,-0.0166512,-0.0524212,2.66594,517.422,909.264,286.57
199,0,-0.0167655,-0.0523517,2.66591,517.427,909.253,286.567
200,0,-0.0166802,-0.0525548,2.666,517.426,909.293,286.539
201,0,-0.0167546,-0.0525791,2.66586,517.429,909.264,286.582
202,0,-0.0165656,-0.052354,2.66585,517.434,909.237,286.577
203,0,-0.0167123,-0.0524298,2.66586,517.42,909.307,286.532
204,0,-0.0166771,-0.0523304,2.66583,517.436,909.289,286.573
