left_ticks,right_ticks,time_s,time_ns
41218,36923,1521301123,801723737
41218,36923,1521301123,825713977
41218,36923,1521301123,853715092
41274,37124,1521301123,877702267
41274,37124,1521301123,901705928
41336,37327,1521301123,925714407
41336,37327,1521301123,949775956
41336,37327,1521301123,973699977
41414,37595,1521301123,997740604
41414,37595,1521301124,21744593
41414,37595,1521301124,49737348
41472,37795,1521301124,73709926
41472,37795,1521301124,97727392
41532,37997,1521301124,125715485
41532,37997,1521301124,149721381
41532,37997,1521301124,173708632
41609,38269,1521301124,197700991
41609,38269,1521301124,221708499
41609,38269,1521301124,249725441
41667,38470,1521301124,277710847
41667,38470,1521301124,301714945
41728,38671,1521301124,325713356
41728,38671,1521301124,353712637
41788,38875,1521301124,377726752
41812,38943,1521301124,401707714
41812,38943,1521301124,425717166
41812,38943,1521301124,449729480
41884,39155,1521301124,473706976
41905,39221,1521301124,497693077
41905,39221,1521301124,525751827
41964,39422,1521301124,553716806
41964,39422,1521301124,577719538
42027,39626,1521301124,601709982
42046,39693,1521301124,625723530
42046,39693,1521301124,649712262
42107,39897,1521301124,677723444
42129,39967,1521301124,701701858
42129,39967,1521301124,729720972
42192,40167,1521301124,753741395
42211,40235,1521301124,777702637
42211,40235,1521301124,801697048
42211,40235,1521301124,825708572
42276,40435,1521301124,849724424
42276,40435,1521301124,873705575
42335,40639,1521301124,897719482
42335,40639,1521301124,925708906
42335,40639,1521301124,949723402
42396,40843,1521301124,973699282
42416,40910,1521301124,997711345
42416,40910,1521301125,21716427
42479,41115,1521301125,45677313
42479,41115,1521301125,69716717
42479,41115,1521301125,93697718
42541,41318,1521301125,117700042
42541,41318,1521301125,141699096
42605,41520,1521301125,169701478
42625,41588,1521301125,193778770
42625,41588,1521301125,217712902
42690,41793,1521301125,241698846
42690,41793,1521301125,265706465
42690,41793,1521301125,289714887
42748,41997,1521301125,317709917
42748,41997,1521301125,341701431
42812,42201,1521301125,365710484
42812,42201,1521301125,389701170
42872,42402,1521301125,417731432
42872,42402,1521301125,441722050
42872,42402,1521301125,465710497
42938,42605,1521301125,493728423
42938,42605,1521301125,517710460
43000,42808,1521301125,541699515
43000,42808,1521301125,565746466
43000,42808,1521301125,589714272
43062,43009,1521301125,617714116
43062,43009,1521301125,641715175
43124,43212,1521301125,665771662
43124,43212,1521301125,689726970
43124,43212,1521301125,713724282
43181,43414,1521301125,745704440
43181,43414,1521301125,769717374
43244,43617,1521301125,793711464
43244,43617,1521301125,817715061
43244,43617,1521301125,845709049
43244,43617,1521301125,869719034
43344,43959,1521301125,893740201
43344,43959,1521301125,925711113
43419,44151,1521301125,949680691
43419,44151,1521301125,973700808
43494,44343,1521301125,997712039
43494,44343,1521301126,21719115
43494,44343,1521301126,45741681
43593,44516,1521301126,69728984
43626,44573,1521301126,93726784
43626,44573,1521301126,117728374
43729,44735,1521301126,145710235
43729,44735,1521301126,169721081
43846,44886,1521301126,193711573
43890,44935,1521301126,217748449
43890,44935,1521301126,241736260
43890,44935,1521301126,265709389
44017,45083,1521301126,289703713
44062,45127,1521301126,317749473
44062,45127,1521301126,341704312
44193,45261,1521301126,365702519
44239,45307,1521301126,389718392
44239,45307,1521301126,417729300
44386,45426,1521301126,441711986
44386,45426,1521301126,465708286
44537,45543,1521301126,493712884
44537,45543,1521301126,517744692
44537,45543,1521301126,545724107
44690,45659,1521301126,569741471
44740,45697,1521301126,601699449
44740,45697,1521301126,625701748
44894,45815,1521301126,653700085
44894,45815,1521301126,681711104
45043,45932,1521301126,705697356
45043,45932,1521301126,729728483
45195,46050,1521301126,753711869
45195,46050,1521301126,777682376
45195,46050,1521301126,801710957
45345,46166,1521301126,825711351
45345,46166,1521301126,849716545
45499,46283,1521301126,873710211
45499,46283,1521301126,897728698
45499,46283,1521301126,921720793
45652,46399,1521301126,953698679
45652,46399,1521301126,977986964
45812,46509,1521301127,1713489
45812,46509,1521301127,29748127
45976,46611,1521301127,53716740
45976,46611,1521301127,77681794
45976,46611,1521301127,97701278
46147,46707,1521301127,121745778
46147,46707,1521301127,145726080
46320,46800,1521301127,173683239
46320,46800,1521301127,197737795
46320,46800,1521301127,225778449
46495,46894,1521301127,249706275
46495,46894,1521301127,273706617
46667,46986,1521301127,297714896
46667,46986,1521301127,321710078
46667,46986,1521301127,349724416
46839,47081,1521301127,377682711
46839,47081,1521301127,401743642
47010,47172,1521301127,425735387
47067,47204,1521301127,453767141
47067,47204,1521301127,485692569
47244,47298,1521301127,509697413
47303,47331,1521301127,533715751
47303,47331,1521301127,557710723
47477,47422,1521301127,581754724
47477,47422,1521301127,605709630
47477,47422,1521301127,629726663
47651,47516,1521301127,653702586
47651,47516,1521301127,677698060
47825,47611,1521301127,701702051
47825,47611,1521301127,725714941
47999,47703,1521301127,753692999
48059,47733,1521301127,773708996
48059,47733,1521301127,797708846
48059,47733,1521301127,821711102
48235,47824,1521301127,849727533
48235,47824,1521301127,873721893
48412,47916,1521301127,897712191
48412,47916,1521301127,921713582
48412,47916,1521301127,945723371
48647,48038,1521301127,969693866
48647,48038,1521301127,993776045
48647,48038,1521301128,17757547
48820,48131,1521301128,41699433
48820,48131,1521301128,65709734
48994,48225,1521301128,89703660
48994,48225,1521301128,113702726
48994,48225,1521301128,137706727
49171,48319,1521301128,161721822
49171,48319,1521301128,185697067
49343,48411,1521301128,209716308
49343,48411,1521301128,233779610
49343,48411,1521301128,257710061
49521,48504,1521301128,285708964
49521,48504,1521301128,313705805
49696,48595,1521301128,337700179
49696,48595,1521301128,365769211
49872,48688,1521301128,389761700
49872,48688,1521301128,413770435
49872,48688,1521301128,437712527
50052,48783,1521301128,461716478
50052,48783,1521301128,485703628
50229,48875,1521301128,509698768
50229,48875,1521301128,533701323
50229,48875,1521301128,557700041
50407,48969,1521301128,581705174
50407,48969,1521301128,605709981
50583,49065,1521301128,629719919
50583,49065,1521301128,653699935
50583,49065,1521301128,685708832
50759,49158,1521301128,709696691
50759,49158,1521301128,733702697
50936,49250,1521301128,757696650
50936,49250,1521301128,781720124
51114,49348,1521301128,809673887
51173,49379,1521301128,833711551
51173,49379,1521301128,853735156
51173,49379,1521301128,877689145
51349,49471,1521301128,905705919
51409,49503,1521301128,933697607
51409,49503,1521301128,957712781
51586,49597,1521301128,981755678
51586,49597,1521301129,5724935
51765,49691,1521301129,29710789
51824,49721,1521301129,53717240
51824,49721,1521301129,77699011
51824,49721,1521301129,101729595
52003,49814,1521301129,125716003
52063,49845,1521301129,149723979
52063,49845,1521301129,173709598
